algo,run_id,output_dir,alpha,gamma,epsilon_start,epsilon_end,decay_episodes,n_states,n_actions,episodes,seed,final_avg_reward,final_success_rate,avg_steps_success,total_episodes,training_time_sec,eval_mean_reward,eval_success_rate,hidden_size,dropout,lr,weight_decay,batch_size,buffer_capacity,min_buffer_size,target_update_freq,train_freq
q_learning,ql_alpha_0.1,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/q_learning/sweep/ql_alpha_0.1,0.1,0.99,1.0,0.05,2500,500,6,3000,42,7.45,1.0,14.872685185185185,3000,1.810715458006598,7.46,1.0,,,,,,,,,
q_learning,ql_alpha_0.5,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/q_learning/sweep/ql_alpha_0.5,0.5,0.99,1.0,0.05,2500,500,6,3000,42,7.2,0.99,15.00436999271668,3000,1.3013798339525238,7.46,1.0,,,,,,,,,
q_learning,ql_alpha_0.8,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/q_learning/sweep/ql_alpha_0.8,0.8,0.99,1.0,0.05,2500,500,6,3000,42,7.0,0.99,14.91061046511628,3000,1.2793435419443995,7.46,1.0,,,,,,,,,
q_learning,ql_gamma_0.9,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/q_learning/sweep/ql_gamma_0.9,0.5,0.9,1.0,0.05,2500,500,6,3000,42,-81.97,0.5,13.702602230483272,3000,2.4344495410332456,-103.42,0.46,,,,,,,,,
q_learning,ql_gamma_0.99,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/q_learning/sweep/ql_gamma_0.99,0.5,0.99,1.0,0.05,2500,500,6,3000,42,7.2,0.99,15.00436999271668,3000,1.3056121250847355,7.46,1.0,,,,,,,,,
q_learning,ql_decay_1500,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/q_learning/sweep/ql_decay_1500,0.5,0.99,1.0,0.05,1500,500,6,3000,42,7.37,0.98,14.329994992488734,3000,0.9487744580255821,7.46,1.0,,,,,,,,,
q_learning,ql_decay_2500,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/q_learning/sweep/ql_decay_2500,0.5,0.99,1.0,0.05,2500,500,6,3000,42,7.2,0.99,15.00436999271668,3000,1.3035809170687571,7.46,1.0,,,,,,,,,
q_learning,ql_decay_4000,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/q_learning/sweep/ql_decay_4000,0.5,0.99,1.0,0.05,4000,500,6,3000,42,1.16,0.62,16.444244604316548,3000,1.8722598750609905,7.46,1.0,,,,,,,,,
dqn,dqn_lr_0.0001,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/dqn/sweep/dqn_lr_0.0001,,0.99,1.0,0.05,3000,500,6,4000,42,6.77,0.97,14.858554342173687,4000,28.13692583295051,-5.26,0.94,64.0,0.0,0.0001,0.0001,128.0,10000.0,256.0,500.0,4.0
dqn,dqn_lr_0.0005,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/dqn/sweep/dqn_lr_0.0005,,0.99,1.0,0.05,3000,500,6,4000,42,7.02,1.0,14.7629886194953,4000,24.72257316694595,3.32,0.98,64.0,0.0,0.0005,0.0001,128.0,10000.0,256.0,500.0,4.0
dqn,dqn_lr_0.001,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/dqn/sweep/dqn_lr_0.001,,0.99,1.0,0.05,3000,500,6,4000,42,7.53,0.99,14.672491263105343,4000,24.564903374994174,-0.8,0.96,64.0,0.0,0.001,0.0001,128.0,10000.0,256.0,500.0,4.0
dqn,dqn_wd_0.0,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/dqn/sweep/dqn_wd_0.0,,0.99,1.0,0.05,3000,500,6,4000,42,7.22,0.99,14.698187163155316,4000,24.057238250039518,7.46,1.0,64.0,0.0,0.0005,0.0,128.0,10000.0,256.0,500.0,4.0
dqn,dqn_wd_0.0001,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/dqn/sweep/dqn_wd_0.0001,,0.99,1.0,0.05,3000,500,6,4000,42,7.02,1.0,14.7629886194953,4000,24.921867041965015,3.32,0.98,64.0,0.0,0.0005,0.0001,128.0,10000.0,256.0,500.0,4.0
dqn,dqn_wd_0.001,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/dqn/sweep/dqn_wd_0.001,,0.99,1.0,0.05,3000,500,6,4000,42,6.47,0.99,14.624509803921569,4000,25.0508105000481,7.46,1.0,64.0,0.0,0.0005,0.001,128.0,10000.0,256.0,500.0,4.0
dqn,dqn_hidden_64,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/dqn/sweep/dqn_hidden_64,,0.99,1.0,0.05,3000,500,6,4000,42,7.02,1.0,14.7629886194953,4000,26.055143416975625,3.32,0.98,64.0,0.0,0.0005,0.0001,128.0,10000.0,256.0,500.0,4.0
dqn,dqn_hidden_128,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/dqn/sweep/dqn_hidden_128,,0.99,1.0,0.05,3000,500,6,4000,42,6.31,0.98,14.784924623115577,4000,38.80907016689889,7.46,1.0,128.0,0.0,0.0005,0.0001,128.0,10000.0,256.0,500.0,4.0
dqn,dqn_hidden_256,/Users/luisguareschi/Documents/IEMaster/ie-reinforcement-learning-project/results/dqn/sweep/dqn_hidden_256,,0.99,1.0,0.05,3000,500,6,4000,42,7.19,0.99,14.6175,4000,40.55833454197273,7.34,1.0,256.0,0.0,0.0005,0.0001,128.0,10000.0,256.0,500.0,4.0
